person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,default
26,38381,OTHER,23,MEDICAL,E,560,6.5660334095911495,0.37751229216612014,N,18,0
41,147796,OTHER,36,HOMEIMPROVEMENT,B,9769,16.46863650711322,0.059918740626867806,Y,23,0
47,56455,MORTGAGE,16,EDUCATION,B,23565,6.966898431804262,0.48256812495143764,Y,19,0
21,112263,RENT,23,DEBTCONSOLIDATION,A,3395,13.985490939132996,0.4854428154201078,N,29,0
61,24018,MORTGAGE,20,PERSONAL,C,15823,23.809943970260214,0.060955599362383824,N,20,0
64,31302,RENT,38,EDUCATION,C,12852,24.05668778341169,0.7782927715505931,N,5,1
25,87506,RENT,38,EDUCATION,E,31390,9.786645730947171,0.4397836725827147,N,23,0
47,61157,RENT,12,DEBTCONSOLIDATION,B,32516,17.48226840091309,0.4522386205220138,N,23,1
47,74917,OWN,10,PERSONAL,C,12462,14.481525282157152,0.4208911774568917,N,24,0
63,112738,MORTGAGE,18,EDUCATION,E,33802,22.51370255172212,0.49247810591924984,N,6,1
63,116646,MORTGAGE,10,EDUCATION,E,20346,10.428617285521064,0.21879680469126642,N,8,0
39,103122,MORTGAGE,12,PERSONAL,C,4511,5.0740481366483365,0.23692066490012426,N,3,0
49,44519,OWN,0,VENTURE,C,20282,8.251224118628302,0.41395788093894487,N,2,0
30,116809,RENT,39,EDUCATION,B,2655,11.99045602338796,0.6472818252632279,N,13,0
47,107487,RENT,18,MEDICAL,F,9696,11.314422595409772,0.0493930154304013,N,11,0
44,76819,OTHER,11,PERSONAL,A,22209,20.827258382457718,0.48668932765399436,N,9,1
58,100910,RENT,7,EDUCATION,F,13827,18.611213322776756,0.6473547325799881,N,2,1
52,140430,MORTGAGE,7,DEBTCONSOLIDATION,D,33269,10.991126392297945,0.13396464490940946,N,13,0
20,91324,OWN,11,HOMEIMPROVEMENT,C,25200,14.154876343324268,0.021867808164647375,N,3,0
46,25408,OWN,32,MEDICAL,A,15320,6.9111820791667045,0.2570435031617519,N,28,0
32,79379,MORTGAGE,25,HOMEIMPROVEMENT,C,11391,22.962928896402016,0.47463352831638256,N,29,1
60,45053,OWN,38,HOMEIMPROVEMENT,C,5769,23.70849648897068,0.1192437069897507,N,11,0
22,29446,MORTGAGE,27,EDUCATION,B,8820,24.59607070761876,0.34663667306826357,N,23,0
58,20922,MORTGAGE,4,MEDICAL,D,11240,22.371056615716753,0.4463339829256796,N,18,1
25,118723,OWN,7,MEDICAL,G,31430,8.47921775392451,0.48311764485828057,N,27,0
27,71356,RENT,24,VENTURE,C,17785,5.923929664032577,0.22678525959029638,N,4,0
46,30789,OWN,26,HOMEIMPROVEMENT,D,14880,16.59193454825348,0.3260234124291702,N,8,0
28,117720,MORTGAGE,22,MEDICAL,A,11860,23.25210053766221,0.6248879909633714,N,13,1
56,86656,RENT,29,VENTURE,C,5898,8.547027233194857,0.7535596083553415,N,9,0
52,64028,OWN,22,PERSONAL,A,6029,5.140858292482838,0.6908854615834232,N,21,0
61,84484,OWN,19,VENTURE,D,29562,21.109920920644885,0.4557839663694112,N,13,1
63,52154,MORTGAGE,17,DEBTCONSOLIDATION,F,17951,6.5359136857346805,0.3341313143257178,N,4,0
43,102870,RENT,17,EDUCATION,D,7437,13.274120638200609,0.2730357253534204,N,18,0
34,22336,MORTGAGE,1,PERSONAL,A,11360,18.5777467437757,0.10871568720637427,N,29,0
51,123677,MORTGAGE,3,PERSONAL,C,25642,9.735951709123603,0.09417548530072925,N,10,0
51,87779,RENT,29,DEBTCONSOLIDATION,C,25779,6.679251268934534,0.5538025236817896,N,11,0
43,39029,RENT,32,VENTURE,C,14701,20.400424569116574,0.21523758877521673,N,23,0
60,79201,OTHER,35,EDUCATION,E,9497,17.60350169774083,0.21118273228163298,Y,7,1
68,52265,RENT,17,VENTURE,E,20675,24.769809689736096,0.7985740930374507,N,26,1
68,122916,MORTGAGE,36,MEDICAL,D,3725,11.886160666399185,0.15846150672029838,N,2,0
31,132250,OWN,18,VENTURE,C,23610,6.235247725803994,0.12696720999617545,Y,23,0
58,136553,RENT,27,PERSONAL,B,11254,19.687000706705916,0.08796132993033728,N,13,0
21,63872,MORTGAGE,39,EDUCATION,A,27155,15.434668377064913,0.468046222681769,N,6,1
22,66197,OWN,19,VENTURE,C,3614,9.264078627782702,0.5060124225416601,N,14,0
68,145733,OWN,32,EDUCATION,C,27002,20.634579780095187,0.2985300617429368,N,28,0
56,75180,RENT,11,EDUCATION,D,20528,9.075109716998874,0.43297653505405953,N,16,0
68,43710,OWN,14,MEDICAL,D,18087,10.213233096658731,0.632835629446481,N,23,0
36,49486,RENT,38,MEDICAL,A,3674,6.850571087334383,0.6563022929741813,N,12,0
68,91907,RENT,1,PERSONAL,C,4821,12.988645580617089,0.7667505398153622,N,9,0
21,148876,OTHER,28,DEBTCONSOLIDATION,B,30935,13.37858447874838,0.661171708879071,N,6,0
21,91895,RENT,9,EDUCATION,B,7599,15.291235806965968,0.456224735006767,N,3,1
47,84435,MORTGAGE,1,DEBTCONSOLIDATION,E,24260,19.17928534247555,0.15192900301110834,N,13,0
42,60631,RENT,10,PERSONAL,A,11860,23.122018573608514,0.0888132105852455,N,29,0
56,149038,MORTGAGE,12,EDUCATION,C,10813,7.754681977756173,0.05306439302957877,N,3,0
51,121532,RENT,9,EDUCATION,B,20962,6.086961966973141,0.5365554071104531,N,27,0
52,40103,OTHER,13,HOMEIMPROVEMENT,E,6301,5.370624671886666,0.6479536417644146,N,17,0
20,84772,OWN,17,DEBTCONSOLIDATION,C,14630,7.872427561376325,0.4118603210404225,N,22,0
38,146108,RENT,8,VENTURE,B,14771,18.15898971563252,0.05322419811857555,N,4,0
21,34382,RENT,38,MEDICAL,C,16575,19.549541559929935,0.4330217539271572,N,11,1
63,104291,RENT,27,VENTURE,D,19484,20.730114270562442,0.7492419166043949,N,20,1
45,121195,OWN,2,DEBTCONSOLIDATION,F,23059,9.874164238086854,0.4821144208366438,Y,9,1
51,23756,RENT,19,MEDICAL,B,13361,11.117896265230398,0.6494477158856238,N,8,0
25,40609,MORTGAGE,5,VENTURE,E,33934,14.662692911309989,0.642120592229483,N,2,0
51,134074,OWN,26,HOMEIMPROVEMENT,F,17167,6.26366193720453,0.7463819888267158,N,13,0
23,36478,RENT,1,MEDICAL,F,6340,17.222830464224923,0.6184807248634,N,29,1
30,120978,OWN,28,EDUCATION,D,4065,24.674700673515154,0.6006834060703408,N,6,1
36,59666,MORTGAGE,37,VENTURE,D,21477,12.216126227560052,0.19494110532680609,N,17,0
57,95683,RENT,2,MEDICAL,C,21618,20.05694950182768,0.057340872703654344,N,26,0
43,119097,RENT,15,HOMEIMPROVEMENT,D,23141,15.000678311392159,0.4189035773925081,Y,5,1
24,144714,RENT,29,MEDICAL,C,7866,7.556236887207655,0.1083030242779366,N,18,0
53,120420,MORTGAGE,39,MEDICAL,D,27136,16.644748976051726,0.7701347422596132,N,25,1
25,91315,MORTGAGE,1,HOMEIMPROVEMENT,C,16130,10.9974853688813,0.2390405624800926,N,22,0
41,97834,OWN,16,VENTURE,D,20556,5.688064169069165,0.6838259206735916,Y,3,0
30,146205,MORTGAGE,11,PERSONAL,E,7882,17.698594602354873,0.3162234539099429,N,13,0
67,34153,MORTGAGE,34,VENTURE,A,16649,22.178646986494552,0.2653234573873282,Y,2,0
35,129415,OWN,0,DEBTCONSOLIDATION,E,1492,11.895395337997483,0.7487752721775307,N,13,0
52,96325,MORTGAGE,14,HOMEIMPROVEMENT,C,7358,12.805910944255409,0.29702483194811696,N,13,0
28,129701,RENT,25,VENTURE,E,2621,22.820433659344232,0.31832744784387784,N,13,0
25,32999,RENT,36,MEDICAL,C,27660,21.272176267347117,0.09381250589419823,N,20,0
35,75318,RENT,20,HOMEIMPROVEMENT,C,21406,19.29905647103554,0.5396528655731824,N,26,1
48,20814,RENT,30,EDUCATION,F,20072,9.975941275062958,0.23818313743723568,N,18,0
22,135033,OWN,24,VENTURE,B,4636,23.20433309933289,0.47262729259321073,N,21,1
39,96077,MORTGAGE,22,HOMEIMPROVEMENT,E,17227,8.08831515078426,0.4771678462020355,N,25,0
55,110474,RENT,23,VENTURE,C,32667,17.535410388344438,0.578167759520656,N,25,1
38,22443,RENT,37,HOMEIMPROVEMENT,C,15979,5.576023610930374,0.5987407740762286,Y,27,0
45,95993,OWN,27,MEDICAL,B,31876,17.874396126498915,0.4164174231772162,N,29,1
22,95916,MORTGAGE,20,EDUCATION,C,5323,10.542887037467196,0.2714836386066884,N,12,0
38,93319,RENT,17,EDUCATION,B,5420,13.9935395436744,0.6715862069194398,N,14,0
39,145885,OWN,35,DEBTCONSOLIDATION,A,20085,11.905291041141062,0.2547938630327029,N,28,0
51,129777,RENT,34,HOMEIMPROVEMENT,B,17772,8.455135124924197,0.41093218463077186,Y,9,0
26,37368,RENT,8,VENTURE,A,27119,17.43961580187748,0.32698954073094516,N,11,0
60,35328,OTHER,37,EDUCATION,G,10033,22.63951110281215,0.6855119249160536,Y,9,1
52,76942,OTHER,29,EDUCATION,F,4220,24.181684845648068,0.35121563960520474,N,21,0
59,111751,RENT,33,PERSONAL,C,19767,8.846927263078301,0.3150183591816126,N,9,0
58,119131,OTHER,31,PERSONAL,D,16196,19.347455481259466,0.5549607173891337,N,10,1
37,47306,OWN,2,EDUCATION,B,30468,18.286787332113647,0.4859284767905398,N,8,1
59,105451,MORTGAGE,2,HOMEIMPROVEMENT,D,23845,11.867555791491451,0.09472499846171839,Y,15,0
20,59915,OWN,27,DEBTCONSOLIDATION,E,26193,5.381983987074516,0.41145335701173097,N,29,0
30,57219,OWN,14,EDUCATION,F,19885,18.795824946257323,0.5910279267832657,N,3,1
47,100879,OWN,22,MEDICAL,C,18622,23.909897211190003,0.7937390640271714,N,26,1
44,131939,MORTGAGE,39,VENTURE,D,1864,17.642402438313027,0.5070259988365521,N,12,1
69,84644,RENT,10,DEBTCONSOLIDATION,B,3208,13.705854483752681,0.30253152248864107,N,9,0
42,80279,RENT,31,MEDICAL,G,13482,15.503077882232567,0.18865976384367356,N,14,0
50,73028,RENT,35,DEBTCONSOLIDATION,A,17808,8.99257615319835,0.6995358849811231,Y,22,0
49,124263,MORTGAGE,32,MEDICAL,D,33419,20.01088327507475,0.6535065175696672,N,16,1
61,20126,RENT,23,VENTURE,D,25661,19.92839660019698,0.19479902841571406,N,29,0
54,72329,MORTGAGE,38,VENTURE,D,14365,7.910346007748499,0.16849935121579304,N,4,0
26,47632,OTHER,33,PERSONAL,A,995,22.55956764999318,0.5749580536808288,Y,24,1
35,127099,RENT,27,HOMEIMPROVEMENT,F,2648,10.383794789466105,0.25881212891582,N,15,0
45,85310,MORTGAGE,36,MEDICAL,B,33824,24.6451212187323,0.2520550507059467,N,16,0
67,129945,OWN,6,PERSONAL,D,13893,12.658060280744916,0.13030929518344767,N,3,0
68,75176,MORTGAGE,3,MEDICAL,B,2052,8.557681174689993,0.21854066057076565,N,20,0
21,139797,RENT,36,PERSONAL,B,33424,12.034402226913045,0.3477309704981932,N,13,0
20,106066,MORTGAGE,0,VENTURE,C,9426,13.803606573943863,0.5889422864452083,N,26,0
